gene_callers_id,pnps,sample_id,ocean,depth,bin,COG_accession,COG_category,MAG_pnps_median,total_count,scg_pnps_median,scg_count
15587,0.0,ERR598949,ARS,DCM,ARS-1037,X,"Mobilome: prophages, transposons",0.0,1.0,nan,nan
15587,0.06294645750522296,ERR599082,ARS,DCM,ARS-1037,X,"Mobilome: prophages, transposons",0.08053021554164175,26.0,nan,nan
14378,0.21687429129783453,ERR594312,ARS,MES,ARS-1037,L,"Replication, recombination and repair",0.1250706333756154,2118.0,0.07221242773078664,67.0
15587,0.11793497121213302,ERR594312,ARS,MES,ARS-1037,X,"Mobilome: prophages, transposons",0.1250706333756154,2118.0,0.07221242773078664,67.0
15589,0.42479557772584464,ERR594312,ARS,MES,ARS-1037,L,"Replication, recombination and repair",0.1250706333756154,2118.0,0.07221242773078664,67.0
15587,0.08574443362212719,ERR594345,ARS,MES,ARS-1037,X,"Mobilome: prophages, transposons",0.11489768486469228,9.0,0.05537493518254569,1.0
15587,0.08310650376111417,ERR594346,ARS,MES,ARS-1037,X,"Mobilome: prophages, transposons",0.08163176677454004,705.0,0.047719940291965635,23.0
77107,0.17008994532542998,ERR594312,ARS,MES,ARS-5,nan,nan,0.07887621218675117,160.0,0.0,1.0
77110,0.2496144587898521,ERR594312,ARS,MES,ARS-5,nan,nan,0.07887621218675117,160.0,0.0,1.0
77112,0.18138593029684494,ERR594312,ARS,MES,ARS-5,nan,nan,0.07887621218675117,160.0,0.0,1.0
77107,0.17410505763780046,ERR594345,ARS,MES,ARS-5,nan,nan,0.1439384771209892,41.0,nan,nan
131141,1.218788806324254,ERR594312,ARS,MES,ARS-112,nan,nan,0.5463653611945767,162.0,0.675717465295973,1.0
78137,0.279967282887578,ERR599064,CPC,SRF,CPC-16,nan,nan,0.07665548221422666,844.0,0.07277119339323168,21.0
87795,1.1242794684993898,ERR599064,CPC,SRF,CPC-64,nan,nan,0.05787509159037822,1086.0,0.03323478901429687,13.0
87817,0.7048757438324039,ERR599064,CPC,SRF,CPC-64,nan,nan,0.05787509159037822,1086.0,0.03323478901429687,13.0
181696,0.5666154070713029,ERR599064,CPC,SRF,CPC-327,nan,nan,0.041602217831456095,237.0,0.05604077802756322,29.0
71595,0.2294768925011854,ERR598965,CPC,DCM,CPC-33,nan,nan,0.043538098383373934,24.0,0.05326721368596055,4.0
73258,0.042253047243732314,ERR598965,CPC,DCM,CPC-6,X,"Mobilome: prophages, transposons",0.050461033219654484,15.0,0.048599183595191664,3.0
78137,0.09714548799333797,ERR598965,CPC,DCM,CPC-16,nan,nan,0.1299644553813586,6.0,nan,nan
181696,0.7365745856353612,ERR598965,CPC,DCM,CPC-327,nan,nan,0.04345212537569789,235.0,0.06969744544633337,21.0
222838,0.47940738990455395,ERR598965,CPC,DCM,CPC-45,L,"Replication, recombination and repair",0.05630642718955652,1411.0,0.04265399226620482,24.0
49648,0.11920534521227018,ERR599346,CPC,MES,CPC-8,L,"Replication, recombination and repair",0.05989925617403246,3059.0,0.031823107173408666,53.0
