gene_callers_id,contig,start,stop,bin,bin_contig,source,integron,ocean,pnps,sample_id,depth,category_accession,COG_category,e_value
14378,ARS-1037_58668,27314,28160,ARS-1037,58668,tara,complete,ARS,0.21687429129783453,ERR594312,MES,L,"Replication, recombination and repair",0
15587,ARS-1037_MHASMcontig_391753,1754,2699,ARS-1037,MHASMcontig_391753,tara,complete,ARS,0.0,ERR598949,DCM,X,"Mobilome: prophages, transposons",0
15587,ARS-1037_MHASMcontig_391753,1754,2699,ARS-1037,MHASMcontig_391753,tara,complete,ARS,0.06294645750522296,ERR599082,DCM,X,"Mobilome: prophages, transposons",0
15587,ARS-1037_MHASMcontig_391753,1754,2699,ARS-1037,MHASMcontig_391753,tara,complete,ARS,0.11793497121213302,ERR594312,MES,X,"Mobilome: prophages, transposons",0
15587,ARS-1037_MHASMcontig_391753,1754,2699,ARS-1037,MHASMcontig_391753,tara,complete,ARS,0.08574443362212719,ERR594345,MES,X,"Mobilome: prophages, transposons",0
15587,ARS-1037_MHASMcontig_391753,1754,2699,ARS-1037,MHASMcontig_391753,tara,complete,ARS,0.08310650376111417,ERR594346,MES,X,"Mobilome: prophages, transposons",0
15589,ARS-1037_MHASMcontig_391753,3619,4465,ARS-1037,MHASMcontig_391753,tara,complete,ARS,0.42479557772584464,ERR594312,MES,L,"Replication, recombination and repair",0
77107,ARS-5_MHASMcontig_396284,6396,7038,ARS-5,MHASMcontig_396284,tara,CALIN,ARS,0.17008994532542998,ERR594312,MES,,,
77107,ARS-5_MHASMcontig_396284,6396,7038,ARS-5,MHASMcontig_396284,tara,CALIN,ARS,0.17410505763780046,ERR594345,MES,,,
77110,ARS-5_MHASMcontig_396284,8454,8841,ARS-5,MHASMcontig_396284,tara,CALIN,ARS,0.2496144587898521,ERR594312,MES,,,
77112,ARS-5_MHASMcontig_396284,9576,9837,ARS-5,MHASMcontig_396284,tara,CALIN,ARS,0.18138593029684494,ERR594312,MES,,,
131141,ARS-112_57442,180056,180575,ARS-112,57442,tara,CALIN,ARS,1.218788806324254,ERR594312,MES,,,
143388,ARS-95_MHASMcontig_411919,1,1045,ARS-95,MHASMcontig_411919,tara,In0,ARS,0.108953628179904,ERR594290,MES,L,"Replication, recombination and repair",0
143388,ARS-95_MHASMcontig_411919,1,1045,ARS-95,MHASMcontig_411919,tara,In0,ARS,0.11710787940448045,ERR594345,MES,L,"Replication, recombination and repair",0
143388,ARS-95_MHASMcontig_411919,1,1045,ARS-95,MHASMcontig_411919,tara,In0,ARS,0.1106335316808312,ERR594346,MES,L,"Replication, recombination and repair",0
143388,ARS-95_MHASMcontig_411919,1,1045,ARS-95,MHASMcontig_411919,tara,In0,ARS,0.10681977263876996,ERR599031,MES,L,"Replication, recombination and repair",0
