sample,depth,size_fraction,sum_cov_bp,archaea,bacteria,eukarya,prokarya,organelle,unknown
SRR3965809_min1000_size08,BAT,0.8-0.5,28468051184600.0,0.0005216250000292617,0.9990237918036682,0.00012555233503069947,0.00024043930354118392,7.778457631823714e-05,1.0806981412427259e-05
SRR3962771_min1000_size08,BAT,0.8-0.5,85119126054500.0,4.511119272466966e-05,0.9994251275022646,0.0001491072299294245,7.237180038779695e-05,0.0001385444288096817,0.00016973784588377103
SRR3960580_min1000_size08,BAT,0.8-0.5,66937680918700.0,0.00044636648730465574,0.9989976235794381,0.00017880091356222086,6.405177534022144e-05,0.00014861595387629991,0.0001645412904784856
Tara037_ERR599031_MES_0.22-1.6_min1000,MES,0.22-1.6,78511590691600.0,0.012715094599488313,0.9835244498537667,0.0002887817926025764,0.0027507631153256763,0.00015085065906411633,0.0005700599797526266
SRR3963458_min1000_size02,BAT,0.2-0.8,13375212459100.0,0.03164861130202067,0.9645575104881812,0.00030580824884147127,0.002857722321561683,0.000278642706528699,0.0003517049328662802
Tara039_ERR599037_MES_0.22-1.6_min1000,MES,0.22-1.6,513162504246800.0,0.01707562220852702,0.9773767506060486,0.0003370821618268667,0.004402468873317117,9.027440901590167e-05,0.0007178017412644914
SRR3962772_min1000_size08,BAT,0.8-0.5,57902745889600.0,7.23232730272324e-05,0.998799069433899,0.00035195479569925423,0.0001033263415763948,0.0004633180462831644,0.0002100081095149597
Tara056_ERR599112_MES_0.22-3_min1000,MES,0.22-3,570365007083900.0,0.013077385390865691,0.9823546571498915,0.00038691121134564653,0.0032948483607157237,0.00018934233439765386,0.0006968555527838225
SRR3960581_min1000_size08,BAT,0.8-0.5,64606380013500.0,2.135635210813064e-05,0.9979521040697165,0.000487416934572404,0.00012219366877312093,0.0011980415786154006,0.0002188873962145073
SRR3967905_min1000_size08,BAT,0.8-0.5,6673904666500.0,0.0017970660654177027,0.9944818975486934,0.0007661736203195734,0.0003048233383092183,0.00036610836116143976,0.002283931066098635
SRR3966130_min1000_size02,BAT,0.2-0.8,14001392219500.0,0.06453034515679507,0.9287203410165136,0.0007857572181056206,0.0046853879651078505,0.00026024514868780115,0.0010179234947900746
SRR3967690_min1000_size02,BAT,0.2-0.8,19069264416300.0,0.09887942276306502,0.8334979027882158,0.0009592367172990921,0.005011078047578984,0.06056585199546431,0.0010865076883767957
SRR3962773_min1000_size02,BAT,0.2-0.8,18160141104900.0,0.06619144249796946,0.9287793000104488,0.0009650625068805877,0.0028246961300404756,7.77828152237685e-05,0.0011617160394369178
SRR3965758_min1000_size02,BAT,0.2-0.8,13234151120000.0,0.06217459115730575,0.9293929993599771,0.0009727681574184714,0.005798749674546561,0.00042307886234867176,0.0012378127884034621
SRR3965676_min1000_size08,BAT,0.8-0.5,12351968506500.0,0.0003039451645318199,0.9944383198626316,0.0013275303520544966,0.002533933986597313,0.001170317734569428,0.00022595289961525614
SRR3965592_min1000_size02,BAT,0.2-0.8,8727450215100.0,0.03324462750850256,0.9530516999121827,0.0014937288759831243,0.011595198598201397,0.00013069386497633899,0.000484051240153834
SRR3968060_min1000_size08,BAT,0.8-0.5,12507593897800.0,0.0009220676809812756,0.9953491065687516,0.0015756479672294466,0.00014465241794572777,0.0015254910221666278,0.00048303434292527484
SRR3962680_min1000_size02,BAT,0.2-0.8,2158047324400.0,0.24802322203421276,0.7300993137108611,0.0019537576179763597,0.018418642840027238,0.0008690918770845097,0.0006359719198380337
SRR3968062_min1000_size02,BAT,0.2-0.8,6739083642500.0,0.06003805476584126,0.83078818688219,0.0019822111296788226,0.09034065962032611,0.0010370217630074473,0.01581386583895631
Tara112_ERR599072_MES_0.22-3_min1000,MES,0.22-3,206383374200300.0,0.05823140041714916,0.8860740150140165,0.0029697399549498647,0.039527964359098756,0.0008056388584800951,0.012391241396305666
SRR3963658_min1000_size08,BAT,0.8-0.5,6560439220600.0,0.002647215836626815,0.9892822692451422,0.003083639268614368,0.000870644145603046,0.0034491667919042926,0.0006670647121092848
SRR3963622_min1000_size02,BAT,0.2-0.8,8623548667600.0,0.0655531379470173,0.9244988225849251,0.0031185457793078716,0.0049201117237746474,0.0006998472128620379,0.0012095347521130049
Tara133_ERR599115_MES_0.22-3_min1000,MES,0.22-3,86762224389500.0,0.04012478196123001,0.9391326108688482,0.0032282832139317185,0.014064856046356518,0.0005557004634131401,0.0028937674462203456
Tara145_ERR599166_MES_0.22-3_min1000,MES,0.22-3,129184086830800.0,0.051390079318323484,0.8839362561796177,0.0033189946882666277,0.05655838718022351,0.0007079028357399558,0.004088379797828767
Tara132_ERR598980_MES_0.22-3_min1000,MES,0.22-3,96168627235600.0,0.02745753732483884,0.9517220468986657,0.003995504536616283,0.01162199445835759,0.0004858770551598638,0.004717039726361752
SRR3960579_min1000_size02,BAT,0.2-0.8,6059602574900.0,0.1986494475868931,0.7640371107962314,0.004004777425588918,0.0268632996946481,0.0005296554617780302,0.00591570903486052
Tara025_ERR599043_SRF_0.22-1.6_min1000,SRF,0.22-1.6,429721822916000.0,0.006957803204200908,0.8761092035730593,0.004974620126560033,0.10077396759662591,0.0010228763736439832,0.01016152912590983
Tara093_ERR599064_SRF_0.22-3_min1000,SRF,0.22-3,399812512265600.0,0.011434834446008802,0.9198481797657906,0.00547057379821824,0.05199400379843638,0.0004332548341681901,0.010819153357377752
Tara032_ERR599097_DCM_0.22-1.6_min1000,DCM,0.22-1.6,438561832957600.0,0.11688077838628458,0.6796044679130006,0.00689027002263589,0.18447520506674311,0.0009734566501624289,0.011175821961173386
Tara048_ERR599138_SRF_0.22-1.6_min1000,SRF,0.22-1.6,312302852247200.0,0.13588198960510925,0.7338618095501394,0.009022826571463898,0.10330173517199841,0.001890447743117893,0.016041191358171194
Tara122_ERR598948_DCM_0.22-3_min1000,DCM,0.22-3,284632982532000.0,0.10493769484547348,0.7477937836247441,0.011436429682684558,0.11816838632226542,0.0023385326706653435,0.015325172854167013
Tara025_ERR599094_DCM_0.22-1.6_min1000,DCM,0.22-1.6,312839751648000.0,0.05137782704828699,0.8596518252434155,0.013163811016042684,0.062428984853162145,0.001726412776045473,0.011651139063047208
Tara032_ERR599041_SRF_0.22-1.6_min1000,SRF,0.22-1.6,39078444585500.0,0.31218952410984,0.4883645665309127,0.014325031347529962,0.14480555846380028,0.001349681934873385,0.03896563761304363
Tara078_ERR599159_MES_0.22-3_min1000,MES,0.22-3,315718696081500.0,0.023535451818101582,0.9277008863032058,0.015916608470037504,0.015503131829533766,0.00036726074616141277,0.01697666083295999
Tara042_ERR599075_SRF_0.22-1.6_min1000,SRF,0.22-1.6,172908708791700.0,0.10556391176391794,0.7540754086902234,0.018651605513896524,0.09155803207443726,0.0024388557270878337,0.027712186230437058
SRR3963599_min1000_size08,BAT,0.8-0.5,1153042367200.0,0.01420619472966752,0.9389613616966147,0.020727301857985016,0.005898549258442201,0.015313086493843798,0.004893505963446787
Tara109_ERR599065_DCM_0.22-3_min1000,DCM,0.22-3,104907426966300.0,0.10858253649342893,0.7374744067381701,0.02292572483426361,0.1051032107063495,0.008027659501843774,0.017886461725944092
Tara085_ERR599090_SRF_0.22-3_min1000,SRF,0.22-3,539801729026200.0,0.0005831933024147842,0.9645207552051571,0.025601429349125415,0.0023184869869863935,0.003799368561860343,0.0031767665944559594
Tara041_ERR599074_SRF_0.22-1.6_min1000,SRF,0.22-1.6,44038165439000.0,0.13908290153875863,0.7206861466189334,0.029588685289465788,0.06348944669988255,0.004379749203385066,0.042773070649574564
Tara078_ERR599101_DCM_0.22-3_min1000,DCM,0.22-3,76644394845900.0,0.25170032083085814,0.5459627353707059,0.050074036879231794,0.11438956722572384,0.015882161604216995,0.021991178089263284
